no,no_hex,name,transparent,txt
0,00,boyclap,1,"11100111
11166111
11aaaa11
1aa66aa1
111aa111
111bb111
11b11b11
00111100"
1,01,boyjamp,1,"61100116
1a1661a1
11aaaa11
111aa111
011bb110
0bbbbbb0
11111111
11111111"
2,02,boylwalk,1,"11100111
11160111
111aa111
6aa1aa11
1111a1a6
111bb111
11b1bb01
10011101"
3,03,boyrstand,1,"11100111
11106111
111a1111
111a1111
11161111
111b1111
111b1111
11100111"
4,04,boyrwalk,1,"11100111
11106111
111aa111
11aa1aa6
6a1a1111
111bb111
10bb1b11
10111001"
5,05,boysquat,1,"11111111
11100111
11166111
1a6aa6a1
111aa111
11bbbb11
1b1111b1
00111100"
6,06,,d,"11100111
11166111
11aaaa11
1a1aa1a1
611aa116
111bb111
11b11b11
00111100"
7,07,girlclap,1,"11177111
11166111
11755711
11566511
11122111
11222211
11166111
11100111"
8,08,girljamp,1,"61177116
15766751
11555511
11155111
11222211
11066011
11111111
11111111"
9,09,girljoy,1,"61177116
15766751
11555511
11155111
11122111
11222211
11166111
11100111"
10,0a,girlrstand,1,"11177111
11176111
11751111
11151111
11161111
11222111
11161111
11101111"
11,0b,girlrwalk,1,"11177111
11176111
11755111
65151561
11121111
11222111
11611611
10111011"
12,0c,girlsquat,1,"11111111
11177111
11166111
11755711
61555516
15122151
11266211
11100111"
13,0d,girlstand,1,"11177111
11166111
11755711
11555511
15122151
61222216
11166111
11100111"
14,0e,bicycle,8,"88888888
88888088
88888828
88778828
88822288
80288208
02088020
80888808"
15,0f,carsmall,8,"88888888
88aaaa88
8a1111a8
8b1111b8
85aaaa58
8bbbbbb8
8ffffff8
80888808"
16,10,cartop,8,"88522588
88222288
882aa288
88222288
88222288
882aa288
88222288
88888888"
17,11,bus,8,"88888888
88888888
88888888
61666666
a6a6a6aa
66666664
55555555
80888808"
18,12,track,8,"88888888
88888888
dccccc88
ccccccba
ccccccba
bbbbbbb5
bbbbbbbb
80888808"
19,13,ambulance,8,"88888888
88888888
88888828
11111118
111111aa
22222222
11111111
80888808"
20,14,fireengine,8,"88888888
88888888
fffff848
22222222
2ff222aa
2ff22222
22222222
80888808"
21,15,Excavator,8,"88888888
88888558
88885885
815a8885
85558885
80008885
0fff0854
00000844"
22,16,bulldozer,8,"88888888
88888888
8815a888
8855a888
55555858
50005458
04440855
00000844"
23,17,boat,0,"00000000
00140000
01140000
00140000
00040000
55555555
04444440
00444400"
24,18,ship,0,"00000000
00000000
00000000
01110000
01a10000
11111111
22222220
22222200"
25,19,submarine,0,"00000000
00000000
0000ff00
0000f000
0000f000
faffffaf
ddaaaadd
0dddddd0"
26,1a,copterr,a,"aaaaaaaa
ffffffff
aaaa2aaa
2a1322aa
2231b22a
aaccccaa
a0aaa0a0
0000000a"
27,1b,plane,a,"aaaaaaaa
aaaaaaaa
aaaaaaaa
1aafffba
ffff11ff
aaaaa1aa
aaaaaaaa
aaaaaaaa"
28,1c,rocket,0,"00020000
00212000
00111000
001a1000
0f111f00
0f222f00
02505200
05000500"
29,1d,ufo,0,"00000000
00000200
000fff00
00f1aff0
00fffff0
0f11ffff
00505050
00000000"
30,1e,ichigo,1,"ffff8fff
ff22288f
f212299f
f2202298
f222222f
f222022f
ff2222ff
ffffffff"
31,1f,apple,0,"00008800
00070000
00273200
02132220
02222220
02222220
00222200
00000000"
32,20,omusubi,f,"ffffffff
ffffffff
fff11fff
ff1111ff
ff1111ff
f110011f
f110011f
ffffffff"
33,21,meat,0,"00000010
00077711
00076770
07777770
07777770
07777000
11777000
01000000"
34,22,danbun,f,"f0f0f0ff
ff666fff
4606064f
f61116ff
fff6ffff
6f666f6f
f61116ff
66fff66f"
35,23,turtle,0,"00000000
00000000
00000000
00000000
00000000
00680090
08888900
09009000"
36,24,cat,0,"00600000
06000000
06000600
05000660
00166660
00665500
06500500
06000050"
